interpolated_c1_times,interpolated_c1_x_coords,interpolated_c1_y_coords
12502,-61.4751249482645,15.365565565917256
12503,-61.475119303556966,15.365554268937567
12504,-61.47511370753015,15.365543086124637
12505,-61.47510816018404,15.365532017478474
12506,-61.47510266151867,15.365521062999075
12507,-61.475097211534006,15.365510222686442
12508,-61.475091810230055,15.36549949654057
12509,-61.47508645760684,15.36548888456147
12510,-61.47508115366435,15.365478386749128
12511,-61.47507589840255,15.365468003103555
12512,-61.47507069182148,15.365457733624744
12513,-61.47506553392114,15.3654475783127
12514,-61.47506042470151,15.365437537167422
12515,-61.4750553641626,15.365427610188906
12516,-61.4750503523044,15.365417797377154
12517,-61.47504538912694,15.36540809873217
12518,-61.47504047463019,15.36539851425395
12519,-61.475035608814146,15.365389043942493
12520,-61.47503079167884,15.365379687797803
12521,-61.475026023224245,15.36537044581988
12522,-61.47502130345036,15.365361318008715
12523,-61.47501663235721,15.365352304364317
12524,-61.47501200994476,15.365343404886687
12525,-61.47500743621305,15.36533461957582
12526,-61.47500291116204,15.365325948431718
12527,-61.474998434791765,15.36531739145438
12528,-61.4749940071022,15.365308948643808
12529,-61.47498962809335,15.365300620000001
12530,-61.47498529776523,15.365292405522958
12531,-61.47498101611782,15.365284305212679
12532,-61.474976783151135,15.365276319069167
12533,-61.47497259886516,15.365268447092417
12534,-61.47496846325991,15.365260689282433
12535,-61.47496437633538,15.365253045639216
12536,-61.47496033809156,15.365245516162762
12537,-61.47495634852848,15.365238100853073
12538,-61.4749524076461,15.365230799710147
12539,-61.47494851544444,15.365223612733988
12540,-61.4749446719235,15.365216539924594
12541,-61.474940877083284,15.365209581281963
12542,-61.474937130923784,15.3652027368061
12543,-61.474933433445,15.365196006496996
12544,-61.474929784646946,15.365189390354667
12545,-61.4749261845296,15.365182888379094
12546,-61.47492263309299,15.365176500570287
12547,-61.47491913033707,15.365170226928248
12548,-61.474915676261894,15.365164067452971
12549,-61.474912270867414,15.365158022144456
12550,-61.474908914153666,15.365152091002713
12551,-61.474905606120636,15.365146274027731
